Scaling factor	2.6659506944613276
Catching Up With Depeche Mode	0.3635190162229162 0.261036760334718 0.2041418712728882 -0.4131794395285888 0.005056978276350072 -0.5365312824304709 -0.31789807193948005 0.09939557723928198 -0.23455250513894296 -0.36534593072797483
Heaven (Remixes)	0.36351901622544286 0.2610367603316989 0.2041418712785131 -0.41317943952370345 0.005056978278233826 -0.5365312824307743 -0.3178980719395794 0.09939557723487154 -0.23455250514467474 -0.36534593072645977
Heaven	0.36351901621969157 0.2610367603299579 0.20414187127747904 -0.4131794395276774 0.005056978284610595 -0.5365312824359639 -0.31789807193857555 0.09939557723961365 -0.234552505141163 -0.3653459307218531
Dominatrix Remixes: Collected Trax	0.36351901622605715 0.2610367603332834 0.204141871279909 -0.4131794395292878 0.005056978277707938 -0.5365312824320315 -0.3178980719309253 0.0993955772435367 -0.234552505140672 -0.36534593072077565
Playing the Angel: Instrumentals	0.36351901622208016 0.2610367603295781 0.20414187127689484 -0.4131794395280409 0.005056978276439026 -0.5365312824296394 -0.31789807193892017 0.0993955772393011 -0.23455250514691098 -0.36534593072821836
Plus de tubes 2001	0.36351901622287053 0.2610367603313502 0.20414187127844582 -0.41317943952844194 0.0050569782771900705 -0.536531282430586 -0.3178980719477589 0.09939557723705811 -0.23455250513625747 -0.36534593072022775
Delta Machine Remixes	0.36351901622279414 0.26103676033010564 0.20414187127730943 -0.41317943952824443 0.005056978276600519 -0.5365312824347084 -0.3178980719361122 0.09939557723594039 -0.23455250513905584 -0.3653459307271908
1990-07-31: San Diego Sports Arena, San Diego, CA, USA	0.36351901621862076 0.2610367603282645 0.20414187127602798 -0.4131794395272388 0.005056978276254958 -0.5365312824332508 -0.3178980719440348 0.09939557723852602 -0.23455250514483683 -0.3653459307252681
Piano & Acoustic Sessions	0.36351901622364025 0.2610367603302547 0.20414187127736313 -0.4131794395284151 0.00505697827257057 -0.5365312824313825 -0.31789807193652453 0.09939557724042786 -0.23455250514121645 -0.3653459307284803
Sounds of the Universe	0.3635190162239541 0.2610367603311628 0.2041418712781669 -0.4131794395286046 0.0050569782705345515 -0.5365312824325571 -0.3178980719411406 0.0993955772325371 -0.23455250514112394 -0.3653459307217368
A Strange Collection, Part 1	0.3635190162214156 0.2610367603305245 0.20414187127783007 -0.4131794395361416 0.005056978282557988 -0.5365312824283344 -0.3178980719382874 0.09939557724011883 -0.2345525051411485 -0.3653459307217611
Fast Fashion, Volume 1	0.36351901622387606 0.26103676033043577 0.20414187127750633 -0.4131794395327396 0.0050569782756119145 -0.5365312824272739 -0.31789807193834496 0.0993955772360551 -0.23455250514355303 -0.3653459307270855
It’s No Good (Club 69 Remixes)	0.3635190162197791 0.26103676032865003 0.2041418712762683 -0.41317943953194536 0.005056978275238212 -0.5365312824297186 -0.31789807193925573 0.09939557724245404 -0.23455250514563902 -0.36534593072644533
Ultra Strike 20: Exciter Total	0.3635190162197065 0.261036760328421 0.20414187127606495 -0.413179439531272 0.00505697827528565 -0.5365312824294732 -0.31789807194266073 0.09939557723993579 -0.23455250514417755 -0.3653459307269892
Walking in My Shoes	0.36351901621908705 0.26103676032822615 0.20414187127594688 -0.41317943953140307 0.005056978275208553 -0.5365312824331401 -0.3178980719413034 0.0993955772353821 -0.23455250514277298 -0.3653459307254233
Delta Machine	0.36351901622601884 0.26103676033186834 0.20414187127282368 -0.4131794395248242 0.005056978278082736 -0.5365312824310142 -0.3178980719397151 0.09939557724006598 -0.23455250514674256 -0.3653459307246573
Soothe My Soul	0.363519016223903 0.2610367603308295 0.20414187127235317 -0.4131794395294482 0.005056978281050823 -0.5365312824293617 -0.31789807194396935 0.09939557723771507 -0.23455250514381903 -0.3653459307239194
The Chɘmical Generation	0.36351901622571703 0.261036760331292 0.20414187127373945 -0.41317943952964886 0.005056978276228597 -0.5365312824275845 -0.31789807194290326 0.0993955772360895 -0.23455250514380865 -0.3653459307255808
Big & Dirty Sounds By: DJ Delicious & Till West	0.3635190162231309 0.2610367603301932 0.20414187127277206 -0.4131794395290666 0.005056978276007392 -0.5365312824305861 -0.31789807193955744 0.09939557723917891 -0.23455250514829487 -0.36534593072478516
Ageha, Volume 00 (Non Stop Mixed by DJ MAAR)	0.3635190162231805 0.26103676033061024 0.20414187127188155 -0.4131794395293446 0.0050569782760381 -0.5365312824309175 -0.31789807194532776 0.09939557723661266 -0.23455250514498896 -0.3653459307211038
Remixed By	0.36351901622231636 0.26103676033016315 0.20414187127174188 -0.4131794395290962 0.005056978275958843 -0.5365312824359689 -0.31789807194208153 0.09939557723616585 -0.23455250513985004 -0.365345930721592
2012-03-07: A State of Trance #550, “Moscow, Russia, Part 4: ATB”: Expocenter, Moscow, Russia	0.36351901622501553 0.26103676033117856 0.20414187127305317 -0.41317943952961533 0.005056978271359401 -0.536531282433635 -0.3178980719376587 0.09939557723588385 -0.23455250514284423 -0.3653459307227759
2012-03-10: A State of Trance #550, "Kiev, Ukraine, Part 8: Sean Tyas": Exhib Center, Kiev, Ukraine	0.3635190162223064 0.2610367603297256 0.20414187127273292 -0.41317943953291475 0.005056978278243659 -0.5365312824291484 -0.3178980719426115 0.09939557723745494 -0.2345525051433999 -0.36534593072484645
Playing the Angel	0.3635190162229279 0.2610367603300964 0.2041418712727204 -0.4131794395334076 0.005056978274017507 -0.5365312824327557 -0.31789807193772857 0.0993955772358177 -0.23455250514271336 -0.36534593072311766
Should Be Higher	0.36351901622473815 0.26103676032637557 0.204141871281434 -0.41317943952800146 0.005056978276896921 -0.5365312824307222 -0.31789807193958936 0.09939557723587297 -0.23455250514328949 -0.36534593072621885
2006-07-22: Touring the Angel: Live at the Anoeta Stadium, San Sebastian, Spain	0.36351901622699706 0.2610367603277635 0.20414187127816413 -0.4131794395259443 0.0050569782737686485 -0.5365312824315683 -0.3178980719400641 0.09939557723978608 -0.23455250514026357 -0.3653459307267473
Construction Time Again	0.36351901622648564 0.26103676032762957 0.20414187127797123 -0.41317943952924807 0.005056978276662106 -0.5365312824280009 -0.3178980719388921 0.09939557724026267 -0.23455250514462123 -0.36534593072710553
2006-06-07: Touring the Angel: NRGi Park Stadium, Aarhus, Denmark	0.3635190162258415 0.2610367603275021 0.20414187127771474 -0.41317943952907177 0.005056978276577816 -0.5365312824310816 -0.3178980719365726 0.09939557723718233 -0.23455250514409298 -0.3653459307270056
Kernfusion 10: reloaded	0.36351901622467875 0.2610367603270909 0.20414187127731107 -0.413179439528776 0.005056978276456962 -0.5365312824306102 -0.3178980719394938 0.09939557723617766 -0.23455250514564419 -0.36534593072655164
Should Be Higher (DJ Phoenix remix)	0.36351901622450783 0.2610367603253868 0.2041418712777897 -0.41317943952893704 0.0050569782767230535 -0.5365312824365517 -0.31789807193613084 0.09939557724110741 -0.23455250514104328 -0.36534593072176913
A Question of Lust	0.363519016222856 0.26103676032663575 0.20414187127661623 -0.4131794395282888 0.005056978276234776 -0.5365312824326479 -0.31789807194009884 0.09939557723813036 -0.2345525051426895 -0.3653459307278236
The Best of Depeche Mode, Volume 1	0.363519016225301 0.2610367603274719 0.2041418712774744 -0.4131794395289142 0.00505697827328449 -0.5365312824287819 -0.31789807194204794 0.09939557723930853 -0.23455250514291148 -0.3653459307269166
People Are People (Different mix)	0.3635190162241525 0.26103676032612194 0.2041418712773846 -0.41317943952873953 0.005056978272152038 -0.5365312824320212 -0.31789807194085024 0.0993955772381772 -0.23455250514674067 -0.3653459307226386
Hits Post Modern Syndrome With Space Ghost Coast to Coast	0.3635190162237292 0.26103676032589596 0.20414187127726258 -0.4131794395331015 0.005056978279454481 -0.536531282429478 -0.3178980719389333 0.09939557723972221 -0.23455250514528983 -0.3653459307241361
Kinky Beats - Think Kink	0.3635190162264042 0.26103676032754136 0.2041418712779624 -0.4131794395330691 0.005056978275564461 -0.5365312824287262 -0.3178980719389911 0.09939557723665152 -0.23455250514055856 -0.3653459307253393
Now Dance 2005	0.36351901622268457 0.2610367603264715 0.20414187127659061 -0.4131794395312326 0.005056978275381946 -0.5365312824305686 -0.3178980719397908 0.0993955772412842 -0.2345525051423963 -0.3653459307273785
A Remix Selection	0.36351901622277877 0.26103676032646983 0.20414187127663477 -0.4131794395313236 0.005056978275379818 -0.5365312824306316 -0.3178980719425658 0.09939557723666052 -0.23455250514203693 -0.3653459307260983
Photographic	0.36351901622758986 0.2610367603282548 0.20414187127467542 -0.413179439527003 0.005056978277453554 -0.5365312824314665 -0.3178980719399986 0.09939557723993671 -0.23455250514062678 -0.3653459307266509
The Complete Depeche Mode	0.36351901622504157 0.2610367603263599 0.20414187127304803 -0.4131794395300593 0.005056978280031983 -0.536531282434467 -0.3178980719398207 0.0993955772395363 -0.23455250514194656 -0.3653459307222647
John the Revelator / Lilian	0.3635190162265583 0.2610367603272921 0.20414187127380107 -0.4131794395303132 0.005056978275871138 -0.5365312824322358 -0.3178980719366199 0.09939557724099536 -0.23455250514541315 -0.36534593072311283
Studio Sessions & Bare Tracks	0.36351901622488625 0.261036760327743 0.20414187127460018 -0.4131794395293588 0.005056978275860853 -0.5365312824310109 -0.3178980719398908 0.09939557723903722 -0.23455250514215023 -0.3653459307278
Blasphemous Rumours	0.3635190162239336 0.2610367603264682 0.20414187127336764 -0.4131794395295138 0.0050569782756825 -0.5365312824346099 -0.31789807193831754 0.0993955772399389 -0.23455250514468506 -0.3653459307235899
It’s Called a Heart	0.3635190162261974 0.26103676032757234 0.20414187127417507 -0.41317943953002384 0.005056978272449888 -0.5365312824302981 -0.3178980719428455 0.09939557723847665 -0.23455250514328363 -0.3653459307233346
Promotional	0.363519016224642 0.261036760327093 0.20414187127392808 -0.41317943953269043 0.0050569782739294 -0.536531282430543 -0.31789807193950864 0.09939557723941586 -0.23455250514446435 -0.36534593072406485
Behind the Wheel	0.36351901622043953 0.26103676033238205 0.20414187127726596 -0.41317943953095404 0.005056978275185914 -0.5365312824311327 -0.317898071940408 0.09939557723783203 -0.234552505142028 -0.36534593072522914
Remixes 81···04: Rare Tracks	0.3635190162247373 0.26103676033311635 0.20414187127931696 -0.41317943952598746 0.005056978277878999 -0.5365312824319578 -0.31789807194025804 0.09939557724021424 -0.23455250514233886 -0.3653459307221014
Martyr: Club Promo	0.3635190162238672 0.2610367603316688 0.2041418712782376 -0.41317943952901615 0.0050569782793042735 -0.5365312824306125 -0.3178980719395836 0.09939557723726808 -0.23455250514192844 -0.3653459307255767
2012-07-14: BBC Radio 1, Essential Mix	0.36351901622361654 0.26103676033187057 0.20414187127839845 -0.41317943952904507 0.005056978276833597 -0.536531282428426 -0.3178980719422852 0.09939557723989619 -0.2345525051447332 -0.3653459307237029
Master & Servant	0.363519016223186 0.2610367603312179 0.2041418712779129 -0.41317943952881003 0.005056978276656242 -0.5365312824308803 -0.31789807193963077 0.09939557724210302 -0.23455250514045464 -0.36534593072633204
Remixes 81···04	0.3635190162223028 0.2610367603317394 0.204141871278335 -0.4131794395288579 0.005056978276859331 -0.5365312824310737 -0.3178980719434449 0.09939557724220963 -0.23455250514095943 -0.3653459307219021
2006-07-02: Touring the Angel: Werchter Festival, Werchter, Belgium	0.3635190162217383 0.2610367603310981 0.20414187127786182 -0.4131794395286108 0.005056978276692126 -0.5365312824339679 -0.3178980719373017 0.09939557724036384 -0.2345525051444206 -0.36534593072313276
2006-07-07: Touring the Angel: Stadion, Stockholm, Sweden	0.36351901622211685 0.26103676033031614 0.20414187127725517 -0.4131794395284312 0.005056978276434896 -0.5365312824324889 -0.31789807193997965 0.09939557723870784 -0.2345525051411798 -0.3653459307269456
2006-07-15: Touring the Angel: Festwiese, Leipzig, Germany	0.36351901622533717 0.2610367603323189 0.20414187127869232 -0.413179439529369 0.005056978273983714 -0.5365312824298071 -0.3178980719395217 0.09939557723754361 -0.23455250514115514 -0.3653459307247373
2006-04-27: Touring the Angel: Shoreline Amphitheatre, Mountain View, CA, USA	0.3635190162225713 0.26103676033063555 0.20414187127748598 -0.41317943952857406 0.005056978274105231 -0.53653128243108 -0.31789807193996067 0.09939557724121638 -0.23455250514259526 -0.3653459307264158
2006-07-20: Touring the Angel: Antic Arena, Nimes, France	0.3635190162226538 0.26103676033130896 0.20414187127799707 -0.4131794395287753 0.005056978273584948 -0.5365312824316626 -0.3178980719431969 0.09939557723725667 -0.23455250514218015 -0.36534593072254296
2006-05-07: Touring the Angel: Arena, Monterrey, Mexico	0.36351901622223887 0.2610367603306583 0.20414187127751257 -0.41317943953116004 0.005056978278415608 -0.5365312824299495 -0.3178980719392151 0.09939557723953024 -0.23455250514323261 -0.36534593072596067
2006-06-26: Touring the Angel: The Point, Dublin, Ireland	0.3635190162229801 0.261036760331699 0.20414187127828531 -0.41317943953234787 0.005056978276169334 -0.5365312824285471 -0.31789807194233033 0.09939557723972042 -0.23455250514197062 -0.3653459307223142
2006-06-21: Touring the Angel: Lokomotiv Stadium, Sofia, Bulgaria	0.36351901622215926 0.2610367603305765 0.20414187127745245 -0.4131794395310753 0.005056978276029868 -0.5365312824307763 -0.31789807193969466 0.09939557724150123 -0.23455250514029002 -0.36534593072601657
Hysterika (live, 1984-03-06: Orfeo Music Hall, Milan, Italy)	0.36351901622148475 0.26103676033005907 0.20414187127707675 -0.41317943953060704 0.005056978275951764 -0.5365312824303575 -0.31789807194167236 0.0993955772401789 -0.23455250514177453 -0.36534593072625854
A Nice Surprise	0.36351901622081967 0.2610367603297327 0.20414187127684646 -0.41317943953040764 0.005056978275891325 -0.5365312824322638 -0.3178980719404186 0.0993955772398236 -0.23455250514139692 -0.3653459307261592
ID&T Yearmix 2001	0.3635190162222527 0.2610367603304309 0.20414187127733885 -0.4131794395308302 0.005056978273780002 -0.5365312824317925 -0.317898071938697 0.099395577239659 -0.23455250514110546 -0.3653459307258933
89FM - A Revista Rock - 12 anos	0.36351901622528054 0.2610367603322468 0.20414187127575273 -0.41317943952710245 0.005056978277338825 -0.5365312824315964 -0.31789807194008224 0.09939557723746598 -0.23455250514349962 -0.3653459307244398
Rock n’ Soul Radio	0.3635190162225405 0.26103676033104856 0.20414187127487435 -0.4131794395289636 0.00505697827900253 -0.5365312824329515 -0.31789807193958813 0.09939557723950987 -0.23455250514418366 -0.3653459307238033
A Question of Time	0.3635190162245447 0.2610367603322055 0.20414187127540834 -0.4131794395295492 0.005056978276669848 -0.5365312824317836 -0.31789807193729774 0.09939557724075869 -0.2345525051446488 -0.3653459307229334
The Best of Videos, Vol. 1	0.3635190162236456 0.26103676033086193 0.2041418712754877 -0.41317943952896247 0.005056978276378866 -0.5365312824308415 -0.31789807193966146 0.09939557723943987 -0.23455250514294643 -0.3653459307268918
In the Mix 97 ②	0.36351901622298793 0.2610367603307365 0.20414187127521416 -0.4131794395288702 0.005056978276360147 -0.5365312824306987 -0.3178980719418386 0.09939557723851218 -0.23455250514437254 -0.3653459307254177
